Target,Model,Feature,Importance_Mean,Importance_Std
activity,random_forest,LED_Color,0.2972,0.0379
activity,random_forest,Light_Intensity_mW_cm2,1.9533,0.1291
activity,random_forest,Temperature_Rise_C,-0.0005,0.0009
activity,xgboost,LED_Color,0.2903,0.0355
activity,xgboost,Light_Intensity_mW_cm2,1.9527,0.1277
activity,xgboost,Temperature_Rise_C,0.0006,0.0011
activity,lightgbm,LED_Color,0.2937,0.036
activity,lightgbm,Light_Intensity_mW_cm2,1.9418,0.1216
activity,lightgbm,Temperature_Rise_C,-0.0004,0.0008
selectivity,random_forest,LED_Color,1.9253,0.1154
selectivity,random_forest,Light_Intensity_mW_cm2,0.0021,0.001
selectivity,random_forest,Temperature_Rise_C,0.0003,0.0008
selectivity,xgboost,LED_Color,1.9269,0.1156
selectivity,xgboost,Light_Intensity_mW_cm2,0.0015,0.0007
selectivity,xgboost,Temperature_Rise_C,-0.0001,0.0005
selectivity,lightgbm,LED_Color,1.9306,0.1163
selectivity,lightgbm,Light_Intensity_mW_cm2,0.0004,0.0006
selectivity,lightgbm,Temperature_Rise_C,0.0,0.0004
